word0,tone0,word1,tone1,num,length,tone,gl,answer,seq,neu,status,flipped
路上,23,多谢,44,3A.wav,NA,23,NA,路上,1,23_44,test,no
路上,23,多谢,44,3A-flipped.wav,NA,23,NA,路上,2,23_44,test,yes
路上,23,多谢,44,3B.wav,NA,23,NA,路上,3,23_44,test,no
路上,23,多谢,44,3B-flipped.wav,NA,23,NA,路上,4,23_44,test,yes
路上,23,多谢,44,4A.wav,NA,44,NA,多谢,5,23_44,test,no
路上,23,多谢,44,4A-flipped.wav,NA,44,NA,多谢,6,23_44,test,yes
路上,23,多谢,44,4B.wav,NA,44,NA,多谢,7,23_44,test,no
路上,23,多谢,44,4B-flipped.wav,NA,44,NA,多谢,8,23_44,test,yes
路口,23,刀口,44,7A.wav,NA,23,NA,路口,9,23_44,test,no
路口,23,刀口,44,7A-flipped.wav,NA,23,NA,路口,10,23_44,test,yes
路口,23,刀口,44,7B.wav,NA,23,NA,路口,11,23_44,test,no
路口,23,刀口,44,7B-flipped.wav,NA,23,NA,路口,12,23_44,test,yes
路口,23,刀口,44,8A.wav,NA,44,NA,刀口,13,23_44,test,no
路口,23,刀口,44,8A-flipped.wav,NA,44,NA,刀口,14,23_44,test,yes
路口,23,刀口,44,8B.wav,NA,44,NA,刀口,15,23_44,test,no
路口,23,刀口,44,8B-flipped.wav,NA,44,NA,刀口,16,23_44,test,yes
杂技,2,查岗,44,25A.wav,NA,2,NA,杂技,17,2_44,test,no
杂技,2,查岗,44,25A-flipped.wav,NA,2,NA,杂技,18,2_44,test,yes
杂技,2,查岗,44,25B.wav,NA,2,NA,杂技,19,2_44,test,no
杂技,2,查岗,44,25B-flipped.wav,NA,2,NA,杂技,20,2_44,test,yes
杂技,2,查岗,44,26A.wav,NA,44,NA,查岗,21,2_44,test,no
杂技,2,查岗,44,26A-flipped.wav,NA,44,NA,查岗,22,2_44,test,yes
杂技,2,查岗,44,26B.wav,NA,44,NA,查岗,23,2_44,test,no
杂技,2,查岗,44,26B-flipped.wav,NA,44,NA,查岗,24,2_44,test,yes
替补,35,铁板,5,35A.wav,NA,35,NA,替补,25,5_35,test,no
替补,35,铁板,5,35A-flipped.wav,NA,35,NA,替补,26,5_35,test,yes
替补,35,铁板,5,35B.wav,NA,35,NA,替补,27,5_35,test,no
替补,35,铁板,5,35B-flipped.wav,NA,35,NA,替补,28,5_35,test,yes
替补,35,铁板,5,36A.wav,NA,5,NA,铁板,29,5_35,test,no
替补,35,铁板,5,36A-flipped.wav,NA,5,NA,铁板,30,5_35,test,yes
替补,35,铁板,5,36B.wav,NA,5,NA,铁板,31,5_35,test,no
替补,35,铁板,5,36B-flipped.wav,NA,5,NA,铁板,32,5_35,test,yes
死罪,42,湿地,5,38A.wav,NA,42,NA,死罪,33,5_42,test,no
死罪,42,湿地,5,38A-flipped.wav,NA,42,NA,死罪,34,5_42,test,yes
死罪,42,湿地,5,38B.wav,NA,42,NA,死罪,35,5_42,test,no
死罪,42,湿地,5,38B-flipped.wav,NA,42,NA,死罪,36,5_42,test,yes
死罪,42,湿地,5,40A.wav,NA,5,NA,湿地,37,5_42,test,no
死罪,42,湿地,5,40A-flipped.wav,NA,5,NA,湿地,38,5_42,test,yes
死罪,42,湿地,5,40B.wav,NA,5,NA,湿地,39,5_42,test,no
死罪,42,湿地,5,40B-flipped.wav,NA,5,NA,湿地,40,5_42,test,yes
试纸,35,湿疹,5,42A.wav,NA,35,NA,试纸,41,5_35,test,no
试纸,35,湿疹,5,42A-flipped.wav,NA,35,NA,试纸,42,5_35,test,yes
试纸,35,湿疹,5,42B.wav,NA,35,NA,试纸,43,5_35,test,no
试纸,35,湿疹,5,42B-flipped.wav,NA,35,NA,试纸,44,5_35,test,yes
试纸,35,湿疹,5,43A.wav,NA,5,NA,湿疹,45,5_35,test,no
试纸,35,湿疹,5,43A-flipped.wav,NA,5,NA,湿疹,46,5_35,test,yes
试纸,35,湿疹,5,43B.wav,NA,5,NA,湿疹,45,5_35,test,no
试纸,35,湿疹,5,43B-flipped.wav,NA,5,NA,湿疹,46,5_35,test,yes
假设,42,价格,35,48A.wav,NA,42,NA,假设,47,35_42,test,no
假设,42,价格,35,48A-flipped.wav,NA,42,NA,假设,48,35_42,test,yes
假设,42,价格,35,48B.wav,NA,42,NA,假设,49,35_42,test,no
假设,42,价格,35,48B-flipped.wav,NA,42,NA,假设,50,35_42,test,yes
假设,42,价格,35,49A.wav,NA,35,NA,价格,51,35_42,test,no
假设,42,价格,35,49A-flipped.wav,NA,35,NA,价格,52,35_42,test,yes
假设,42,价格,35,49B.wav,NA,35,NA,价格,53,35_42,test,no
假设,42,价格,35,49B-flipped.wav,NA,35,NA,价格,54,35_42,test,yes
替身,35,体操,42,50A.wav,NA,35,NA,替身,55,35_42,test,no
替身,35,体操,42,50A-flipped.wav,NA,35,NA,替身,56,35_42,test,yes
替身,35,体操,42,50B.wav,NA,35,NA,替身,57,35_42,test,no
替身,35,体操,42,50B-flipped.wav,NA,35,NA,替身,58,35_42,test,yes
替身,35,体操,42,51A.wav,NA,42,NA,体操,59,35_42,test,no
替身,35,体操,42,51A-flipped.wav,NA,42,NA,体操,60,35_42,test,yes
替身,35,体操,42,51B.wav,NA,42,NA,体操,61,35_42,test,no
替身,35,体操,42,51B-flipped.wav,NA,42,NA,体操,62,35_42,test,yes
四季,35,湿气,5,62A.wav,NA,35,NA,四季,63,5_35,test,no
四季,35,湿气,5,62A-flipped.wav,NA,35,NA,四季,64,5_35,test,yes
四季,35,湿气,5,62B.wav,NA,35,NA,四季,65,5_35,test,no
四季,35,湿气,5,62B-flipped.wav,NA,35,NA,四季,66,5_35,test,yes
四季,35,湿气,5,63A.wav,NA,5,NA,湿气,67,5_35,test,no
四季,35,湿气,5,63A-flipped.wav,NA,5,NA,湿气,68,5_35,test,yes
四季,35,湿气,5,63B.wav,NA,5,NA,湿气,69,5_35,test,no
四季,35,湿气,5,63B-flipped.wav,NA,5,NA,湿气,70,5_35,test,yes
